"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1	-18.000000	18.300000	200.000000	1.000000	0.000000	-0.000000	-0.000000	0.000000	-1.000000	0.000000	1.000000	0.000000
2	-13.000000	18.300000	199.999998	1.000000	-0.000000	-0.000000	-0.000000	0.000002	-1.000000	0.000000	1.000000	0.000002
3	-8.000000	18.300000	199.999996	1.000000	-0.000000	-0.000000	-0.000000	0.000006	-1.000000	0.000000	1.000000	0.000006
4	-3.009629	18.300000	199.849550	0.981106	0.000000	-0.193473	-0.193473	0.000012	-0.981106	0.000002	1.000000	0.000011
5	1.234065	18.300000	197.368615	0.720517	-0.000000	-0.693437	-0.693437	0.000019	-0.720517	0.000013	1.000000	0.000014
6	4.836652	18.300000	193.901431	0.720517	-0.000000	-0.693437	-0.693437	0.000027	-0.720517	0.000019	1.000000	0.000020
7	8.439238	18.300000	190.434246	0.720517	-0.000000	-0.693437	-0.693437	0.000035	-0.720517	0.000025	1.000000	0.000026
8	12.041825	18.300000	186.967062	0.720517	-0.000000	-0.693437	-0.693437	0.000043	-0.720517	0.000030	1.000000	0.000031
9	15.644412	18.300000	183.499878	0.720518	-0.000000	-0.693437	-0.693437	0.000050	-0.720518	0.000034	1.000000	0.000036
10	19.247001	18.300000	180.032695	0.720518	-0.000000	-0.693437	-0.693437	0.000054	-0.720518	0.000038	1.000000	0.000039
11	22.849590	18.300000	176.565512	0.720518	-0.000000	-0.693436	-0.693436	0.000056	-0.720518	0.000039	1.000000	0.000041
12	26.452180	18.300000	173.098332	0.720518	-0.000000	-0.693436	-0.693436	0.000056	-0.720518	0.000039	1.000000	0.000040
13	30.054772	18.300000	169.631153	0.720519	-0.000000	-0.693436	-0.693436	0.000051	-0.720519	0.000035	1.000000	0.000037
14	33.657366	18.300000	166.163975	0.720519	-0.000000	-0.693435	-0.693435	0.000042	-0.720519	0.000029	1.000000	0.000030
15	37.259962	18.300000	162.696800	0.720519	-0.000000	-0.693435	-0.693435	0.000028	-0.720519	0.000019	1.000000	0.000020
16	40.862560	18.300000	159.229628	0.720520	-0.000000	-0.693434	-0.693434	0.000009	-0.720520	0.000006	1.000000	0.000006
17	44.437825	18.301237	155.734495	0.705226	0.001821	-0.708981	-0.707562	0.065080	-0.703648	0.044859	0.997878	0.047184
18	48.068960	18.563588	152.313586	0.756584	0.116650	-0.643408	-0.645167	0.293407	-0.705459	0.106489	0.948844	0.297245
19	52.059074	19.586229	149.507371	0.837372	0.295947	-0.459590	-0.546632	0.454916	-0.703026	0.001016	0.839921	0.542708
20	56.364798	21.345678	147.701760	0.878908	0.398703	-0.261832	-0.434431	0.442449	-0.784544	-0.196953	0.803290	0.562081
21	60.799362	23.458261	146.792948	0.890670	0.438408	-0.120437	-0.233687	0.214213	-0.948422	-0.389996	0.872876	0.293243
22	65.234889	25.689207	146.206571	0.879075	0.451514	-0.152844	-0.046526	-0.237839	-0.970190	-0.474407	0.859981	-0.188072
23	69.515049	27.911636	144.938504	0.815117	0.423071	-0.395721	0.028181	-0.711257	-0.702367	-0.578610	0.561359	-0.591681
24	73.185088	29.758749	142.144708	0.630961	0.294948	-0.717561	0.097399	-0.947711	-0.303904	-0.769676	0.121862	-0.626696
25	75.598835	30.656701	137.910751	0.319789	0.050683	-0.946132	0.137669	-0.990457	-0.006526	-0.937434	-0.128166	-0.323715
26	76.315286	30.220940	133.024457	-0.031926	-0.220838	-0.974788	0.098971	-0.971190	0.216782	-0.994578	-0.089555	0.052863
